ID,Hotel Rank,Hotel Name,Hotel Slug,City,Country,Image Slot,Image Type,Subject,File Name Original,File Name Web,Local Path Original,Local Path Web,Source Site,Source Page URL,Direct Download URL,Photographer / Creator,Photographer Profile URL,Licence,Licence URL,Attribution Required?,Recommended Attribution Text,Commercial Use Allowed?,Modification Allowed?,Verification Date,Notes,Safe to Use?,Width,Height,Web File Size Bytes
hyatt-regency-tashkent-04,12,Hyatt Regency Tashkent,hyatt-regency-tashkent,Tashkent,Uzbekistan,4,Attraction,Hazrat Imam 01.jpg,hyatt-regency-tashkent-04-attraction-hazrati-imam.jpg,hyatt-regency-tashkent-04-attraction-hazrati-imam.webp,public/images/hotels/hyatt-regency-tashkent/original/hyatt-regency-tashkent-04-attraction-hazrati-imam.jpg,/images/hotels/hyatt-regency-tashkent/web/hyatt-regency-tashkent-04-attraction-hazrati-imam.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hazrat_Imam_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Hazrat_Imam_01.jpg/3840px-Hazrat_Imam_01.jpg,LBM1948,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,"Photo: Hazrat Imam 01.jpg by LBM1948, licensed under CC BY-SA 4.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Hazrati Imam Complex Tashkent.,Yes,2200,1542,342292
hyatt-regency-tashkent-05,12,Hyatt Regency Tashkent,hyatt-regency-tashkent,Tashkent,Uzbekistan,5,Food,"Tashkent, Chorsu Bazaar (6226208607).jpg",hyatt-regency-tashkent-05-food-uzbek-food.jpg,hyatt-regency-tashkent-05-food-uzbek-food.webp,public/images/hotels/hyatt-regency-tashkent/original/hyatt-regency-tashkent-05-food-uzbek-food.jpg,/images/hotels/hyatt-regency-tashkent/web/hyatt-regency-tashkent-05-food-uzbek-food.webp,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Tashkent,_Chorsu_Bazaar_(6226208607).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Tashkent%2C_Chorsu_Bazaar_%286226208607%29.jpg/3840px-Tashkent%2C_Chorsu_Bazaar_%286226208607%29.jpg,Arian Zwegers,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Yes,"Photo: Tashkent, Chorsu Bazaar (6226208607).jpg by Arian Zwegers, licensed under CC BY 2.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Uzbek food market Tashkent.,Yes,2200,1466,316094
hyatt-regency-tashkent-06,12,Hyatt Regency Tashkent,hyatt-regency-tashkent,Tashkent,Uzbekistan,6,Secondary,Shahriston (Tashkent Metro) 2023.jpg,hyatt-regency-tashkent-06-secondary-tashkent-metro.jpg,hyatt-regency-tashkent-06-secondary-tashkent-metro.webp,public/images/hotels/hyatt-regency-tashkent/original/hyatt-regency-tashkent-06-secondary-tashkent-metro.jpg,/images/hotels/hyatt-regency-tashkent/web/hyatt-regency-tashkent-06-secondary-tashkent-metro.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Shahriston_(Tashkent_Metro)_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Shahriston_%28Tashkent_Metro%29_2023.jpg/3840px-Shahriston_%28Tashkent_Metro%29_2023.jpg,ほっきー,,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,No,"Image: Shahriston (Tashkent Metro) 2023.jpg by ほっきー, public domain via Wikimedia Commons.",Yes,Yes,2026-05-30,Matched Commons query: Tashkent metro.,Yes,2200,1650,544546
grand-hotel-yerevan-01,13,Grand Hotel Yerevan,grand-hotel-yerevan,Yerevan,Armenia,1,Hero,"Yerevan hotel, Yerevan 01.jpg",grand-hotel-yerevan-01-hero-grand-hotel.jpg,grand-hotel-yerevan-01-hero-grand-hotel.webp,public/images/hotels/grand-hotel-yerevan/original/grand-hotel-yerevan-01-hero-grand-hotel.jpg,/images/hotels/grand-hotel-yerevan/web/grand-hotel-yerevan-01-hero-grand-hotel.webp,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Yerevan_hotel,_Yerevan_01.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Yerevan_hotel%2C_Yerevan_01.jpg/3840px-Yerevan_hotel%2C_Yerevan_01.jpg,GeoO,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,"Photo: Yerevan hotel, Yerevan 01.jpg by GeoO, licensed under CC BY-SA 4.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Grand Hotel Yerevan. Hotel-specific image not found under safe licence; using destination/neighbourhood alternative.,Yes,2200,1466,293582
grand-hotel-yerevan-02,13,Grand Hotel Yerevan,grand-hotel-yerevan,Yerevan,Armenia,2,Hotel,Republic Square in Yerevan.jpg,grand-hotel-yerevan-02-hotel-republic-square.jpg,grand-hotel-yerevan-02-hotel-republic-square.webp,public/images/hotels/grand-hotel-yerevan/original/grand-hotel-yerevan-02-hotel-republic-square.jpg,/images/hotels/grand-hotel-yerevan/web/grand-hotel-yerevan-02-hotel-republic-square.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Republic_Square_in_Yerevan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Republic_Square_in_Yerevan.jpg/3840px-Republic_Square_in_Yerevan.jpg,Savedhead,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Yes,"Photo: Republic Square in Yerevan.jpg by Savedhead, licensed under CC BY-SA 3.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Yerevan Republic Square architecture. Hotel-specific image not found under safe licence; using destination/neighbourhood alternative.,Yes,2200,308,133906
grand-hotel-yerevan-03,13,Grand Hotel Yerevan,grand-hotel-yerevan,Yerevan,Armenia,3,City,Mount Ararat and the Yerevan skyline.jpg,grand-hotel-yerevan-03-city-mount-ararat.jpg,grand-hotel-yerevan-03-city-mount-ararat.webp,public/images/hotels/grand-hotel-yerevan/original/grand-hotel-yerevan-03-city-mount-ararat.jpg,/images/hotels/grand-hotel-yerevan/web/grand-hotel-yerevan-03-city-mount-ararat.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mount_Ararat_and_the_Yerevan_skyline.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Mount_Ararat_and_the_Yerevan_skyline.jpg/3840px-Mount_Ararat_and_the_Yerevan_skyline.jpg,Սէրուժ Ուրիշեան (Serouj Ourishian),,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Yes,"Photo: Mount Ararat and the Yerevan skyline.jpg by Սէրուժ Ուրիշեան (Serouj Ourishian), licensed under CC BY-SA 3.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Yerevan Mount Ararat.,Yes,2200,1466,803976
grand-hotel-yerevan-04,13,Grand Hotel Yerevan,grand-hotel-yerevan,Yerevan,Armenia,4,Attraction,"2014 Erywań, Kaskady (03).jpg",grand-hotel-yerevan-04-attraction-cascade.jpg,grand-hotel-yerevan-04-attraction-cascade.webp,public/images/hotels/grand-hotel-yerevan/original/grand-hotel-yerevan-04-attraction-cascade.jpg,/images/hotels/grand-hotel-yerevan/web/grand-hotel-yerevan-04-attraction-cascade.webp,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:2014_Erywa%C5%84,_Kaskady_(03).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/2014_Erywa%C5%84%2C_Kaskady_%2803%29.jpg/3840px-2014_Erywa%C5%84%2C_Kaskady_%2803%29.jpg,Marcin Konsek,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,"Photo: 2014 Erywań, Kaskady (03).jpg by Marcin Konsek, licensed under CC BY-SA 4.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Cascade Complex Yerevan.,Yes,2200,1466,389084
grand-hotel-yerevan-05,13,Grand Hotel Yerevan,grand-hotel-yerevan,Yerevan,Armenia,5,Food,Tavern Yerevan - 2.JPG,grand-hotel-yerevan-05-food-grand-hotel-yerevan-05.jpg,grand-hotel-yerevan-05-food-grand-hotel-yerevan-05.webp,public/images/hotels/grand-hotel-yerevan/original/grand-hotel-yerevan-05-food-grand-hotel-yerevan-05.jpg,/images/hotels/grand-hotel-yerevan/web/grand-hotel-yerevan-05-food-grand-hotel-yerevan-05.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tavern_Yerevan_-_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Tavern_Yerevan_-_2.JPG/3840px-Tavern_Yerevan_-_2.JPG,Benoît Prieur,,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,No,"Image: Tavern Yerevan - 2.JPG by Benoît Prieur, public domain via Wikimedia Commons.",Yes,Yes,2026-05-30,Recovered with Commons query: Armenian food Yerevan. Hotel-specific image not found under safe licence; using destination alternative.,Yes,2200,1650,204598
grand-hotel-yerevan-06,13,Grand Hotel Yerevan,grand-hotel-yerevan,Yerevan,Armenia,6,Secondary,Republic Square Metro Station Fountains in Yerevan 2019-06-20v2.jpg,grand-hotel-yerevan-06-secondary-republic-square-night.jpg,grand-hotel-yerevan-06-secondary-republic-square-night.webp,public/images/hotels/grand-hotel-yerevan/original/grand-hotel-yerevan-06-secondary-republic-square-night.jpg,/images/hotels/grand-hotel-yerevan/web/grand-hotel-yerevan-06-secondary-republic-square-night.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Republic_Square_Metro_Station_Fountains_in_Yerevan_2019-06-20v2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Republic_Square_Metro_Station_Fountains_in_Yerevan_2019-06-20v2.jpg/3840px-Republic_Square_Metro_Station_Fountains_in_Yerevan_2019-06-20v2.jpg,Armenak Margarian,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Yes,"Photo: Republic Square Metro Station Fountains in Yerevan 2019-06-20v2.jpg by Armenak Margarian, licensed under CC BY-SA 4.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Republic Square Yerevan.,Yes,2200,1466,513110
sofitel-marrakech-01,14,Sofitel Marrakech Palais Imperial & Spa,sofitel-marrakech,Marrakech,Morocco,1,Hero,SOFITEL HOTEL MARRAKECH MOROCCO APRIL 2013 (8712759223).jpg,sofitel-marrakech-01-hero-sofitel.jpg,sofitel-marrakech-01-hero-sofitel.webp,public/images/hotels/sofitel-marrakech/original/sofitel-marrakech-01-hero-sofitel.jpg,/images/hotels/sofitel-marrakech/web/sofitel-marrakech-01-hero-sofitel.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:SOFITEL_HOTEL_MARRAKECH_MOROCCO_APRIL_2013_(8712759223).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/SOFITEL_HOTEL_MARRAKECH_MOROCCO_APRIL_2013_%288712759223%29.jpg/3840px-SOFITEL_HOTEL_MARRAKECH_MOROCCO_APRIL_2013_%288712759223%29.jpg,calflier001,,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Yes,"Photo: SOFITEL HOTEL MARRAKECH MOROCCO APRIL 2013 (8712759223).jpg by calflier001, licensed under CC BY-SA 2.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Marrakech Morocco sofitel.,Yes,2200,1466,586804
sofitel-marrakech-02,14,Sofitel Marrakech Palais Imperial & Spa,sofitel-marrakech,Marrakech,Morocco,2,Hotel,"Marrakech, Morocco (28355768888).jpg",sofitel-marrakech-02-hotel-hivernage-garden.jpg,sofitel-marrakech-02-hotel-hivernage-garden.webp,public/images/hotels/sofitel-marrakech/original/sofitel-marrakech-02-hotel-hivernage-garden.jpg,/images/hotels/sofitel-marrakech/web/sofitel-marrakech-02-hotel-hivernage-garden.webp,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Marrakech,_Morocco_(28355768888).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Marrakech%2C_Morocco_%2828355768888%29.jpg/3840px-Marrakech%2C_Morocco_%2828355768888%29.jpg,Charlie Marchant from UK,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Yes,"Photo: Marrakech, Morocco (28355768888).jpg by Charlie Marchant from UK, licensed under CC BY 2.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Marrakech Morocco travel. Hotel-specific image not found under safe licence; using destination/neighbourhood alternative.,Yes,2200,1466,486458
sofitel-marrakech-03,14,Sofitel Marrakech Palais Imperial & Spa,sofitel-marrakech,Marrakech,Morocco,3,City,MEDINA MARRAKECH MOROCCO APRIL 2013 (8752596811).jpg,sofitel-marrakech-03-city-medina.jpg,sofitel-marrakech-03-city-medina.webp,public/images/hotels/sofitel-marrakech/original/sofitel-marrakech-03-city-medina.jpg,/images/hotels/sofitel-marrakech/web/sofitel-marrakech-03-city-medina.webp,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:MEDINA_MARRAKECH_MOROCCO_APRIL_2013_(8752596811).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/MEDINA_MARRAKECH_MOROCCO_APRIL_2013_%288752596811%29.jpg/3840px-MEDINA_MARRAKECH_MOROCCO_APRIL_2013_%288752596811%29.jpg,calflier001,,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Yes,"Photo: MEDINA MARRAKECH MOROCCO APRIL 2013 (8752596811).jpg by calflier001, licensed under CC BY-SA 2.0 via Wikimedia Commons. Cropped/resized only if needed and converted to WebP.",Yes,Yes,2026-05-30,Matched Commons query: Marrakech medina Morocco.,Yes,2200,1206,514316
